Date,RFID,Zone,Matrix Name,Session Name,Temperature
2025/01/01 00:00:00,A1B2C3D4,4,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.34
2025/01/01 00:00:20,A1B2C3D4,2,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.07
2025/01/01 00:00:40,A1B2C3D4,4,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.12
2025/01/01 00:01:00,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.85
2025/01/01 00:01:20,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.82
2025/01/01 00:01:40,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.17
2025/01/01 00:02:00,A1B2C3D4,4,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.23
2025/01/01 00:02:20,A1B2C3D4,3,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.90
2025/01/01 00:02:40,A1B2C3D4,1,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.09
2025/01/01 00:03:00,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.85
2025/01/01 00:03:20,A1B2C3D4,7,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.00
2025/01/01 00:03:40,A1B2C3D4,6,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.85
2025/01/01 00:04:00,A1B2C3D4,6,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.76
2025/01/01 00:04:20,A1B2C3D4,3,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.66
2025/01/01 00:04:40,A1B2C3D4,2,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.26
2025/01/01 00:05:00,A1B2C3D4,3,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.65
2025/01/01 00:05:20,A1B2C3D4,4,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.91
2025/01/01 00:05:40,A1B2C3D4,7,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.81
2025/01/01 00:06:00,A1B2C3D4,2,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.06
2025/01/01 00:06:20,A1B2C3D4,1,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.05
2025/01/01 00:06:40,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.10
2025/01/01 00:07:00,A1B2C3D4,3,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.75
2025/01/01 00:07:20,A1B2C3D4,3,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.94
2025/01/01 00:07:40,A1B2C3D4,7,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.15
2025/01/01 00:08:00,A1B2C3D4,3,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.84
2025/01/01 00:08:20,A1B2C3D4,6,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.18
2025/01/01 00:08:40,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.12
2025/01/01 00:09:00,A1B2C3D4,7,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.84
2025/01/01 00:09:20,A1B2C3D4,5,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.00
2025/01/01 00:09:40,A1B2C3D4,5,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.64
2025/01/01 00:10:00,A1B2C3D4,2,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.46
2025/01/01 00:10:20,A1B2C3D4,3,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.13
2025/01/01 00:10:40,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.01
2025/01/01 00:11:00,A1B2C3D4,5,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.88
2025/01/01 00:11:20,A1B2C3D4,5,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.76
2025/01/01 00:11:40,A1B2C3D4,1,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.86
2025/01/01 00:12:00,A1B2C3D4,1,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.93
2025/01/01 00:12:20,A1B2C3D4,1,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.70
2025/01/01 00:12:40,A1B2C3D4,2,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.29
2025/01/01 00:13:00,A1B2C3D4,2,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.14
2025/01/01 00:13:20,A1B2C3D4,6,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.97
2025/01/01 00:13:40,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.03
2025/01/01 00:14:00,A1B2C3D4,6,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.00
2025/01/01 00:14:20,A1B2C3D4,1,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.09
2025/01/01 00:14:40,A1B2C3D4,5,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.03
2025/01/01 00:15:00,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.83
2025/01/01 00:15:20,A1B2C3D4,3,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.73
2025/01/01 00:15:40,A1B2C3D4,6,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.09
2025/01/01 00:16:00,A1B2C3D4,6,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.51
2025/01/01 00:16:20,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.36
2025/01/01 00:16:40,A1B2C3D4,6,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.96
2025/01/01 00:17:00,A1B2C3D4,5,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.70
2025/01/01 00:17:20,A1B2C3D4,5,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.24
2025/01/01 00:17:40,A1B2C3D4,1,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.10
2025/01/01 00:18:00,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.11
2025/01/01 00:18:20,A1B2C3D4,6,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.94
2025/01/01 00:18:40,A1B2C3D4,3,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.37
2025/01/01 00:19:00,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.99
2025/01/01 00:19:20,A1B2C3D4,7,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.18
2025/01/01 00:19:40,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.16
2025/01/01 00:20:00,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.07
2025/01/01 00:20:20,A1B2C3D4,4,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.99
2025/01/01 00:20:40,A1B2C3D4,4,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.99
2025/01/01 00:21:00,A1B2C3D4,5,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.30
2025/01/01 00:21:20,A1B2C3D4,2,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.64
2025/01/01 00:21:40,A1B2C3D4,7,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.73
2025/01/01 00:22:00,A1B2C3D4,6,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.07
2025/01/01 00:22:20,A1B2C3D4,2,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.88
2025/01/01 00:22:40,A1B2C3D4,1,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.71
2025/01/01 00:23:00,A1B2C3D4,4,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.53
2025/01/01 00:23:20,A1B2C3D4,6,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.84
2025/01/01 00:23:40,A1B2C3D4,5,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.20
2025/01/01 00:24:00,A1B2C3D4,2,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.96
2025/01/01 00:24:20,A1B2C3D4,3,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.93
2025/01/01 00:24:40,A1B2C3D4,5,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.92
2025/01/01 00:25:00,A1B2C3D4,7,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.10
2025/01/01 00:25:20,A1B2C3D4,4,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.86
2025/01/01 00:25:40,A1B2C3D4,1,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.05
2025/01/01 00:26:00,A1B2C3D4,2,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.60
2025/01/01 00:26:20,A1B2C3D4,3,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.09
2025/01/01 00:26:40,A1B2C3D4,4,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.99
2025/01/01 00:27:00,A1B2C3D4,8,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.84
2025/01/01 00:27:20,A1B2C3D4,4,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.03
2025/01/01 00:27:40,A1B2C3D4,3,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,37.14
2025/01/01 00:28:00,A1B2C3D4,5,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.81
2025/01/01 00:28:20,A1B2C3D4,6,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.59
2025/01/01 00:28:40,A1B2C3D4,1,matrix1,2025_01_01_00_00_00_thru_2025_01_02_00_00_00,36.83
